prec,impl,C,H,W,TILE_CI,num_data_points,kernel_cycles,fpss_fpu_occupancy,total_ipc,main_loop_snitch_occupancy,ofmap_max_abs_err,ofmap_max_rel_err,running_mean_max_abs_err,running_mean_rel_err,running_var_abs_err,running_var_rel_err,time_spent_waiting_in_barrier,icache_miss,tcdm_congestion
64,MULTICORE_OPT,32,32,16,32,16384,16154,0.55537671020863,0.6269423636476196,0.0720609174766297,1.7763568394002505e-15,3.209683832472567e-13,1.1102230246251563e-16,2.0723043815713527e-16,2.220446049250313e-16,1.7503464879488868e-16,3291,937,46941
64,MULTICORE_OPT,32,32,32,32,32768,28839,0.5996601706082253,0.6565642554962203,0.0551702614605728,1.7763568394002505e-15,2.3474724121678055e-12,2.220446049250313e-16,1.4489481028951433e-15,4.440892098500626e-16,1.927354175054632e-16,5619,1078,392
64,MULTICORE_OPT,16,64,64,16,65536,50888,0.6549609920018865,0.6896260341541061,0.0319138483306148,8.881784197001252e-16,5.657659365107862e-13,5.551115123125783e-17,1.603078813793865e-16,2.220446049250313e-16,2.1817031004574284e-16,12586,1022,36
64,MULTICORE_OPT,32,64,32,32,65536,53575,0.6334602605741592,0.6821965878971142,0.0456378093851495,2.664535259100376e-15,1.3114283271433026e-12,1.1102230246251563e-16,3.357933200256058e-16,4.440892098500626e-16,2.0443965880979784e-16,9923,1315,209939
64,MULTICORE_OPT,32,64,64,32,131072,102613,0.6557712548239972,0.7025006821814213,0.0425681206876388,2.664535259100376e-15,6.54311042094634e-12,1.1102230246251563e-16,2.042607245536201e-16,1.1102230246251563e-16,2.5457501855939355e-16,17984,1905,1680
64,SINGLE_CORE_OPT,2,2,2,2,8,671,0.3985074626865671,0.5940298507462687,0.1716417910447761,0.0,0.0,0.0,0.0,0.0,0.0,161,115,0
64,SINGLE_CORE_OPT,4,2,2,4,16,973,0.5154320987654321,0.6995884773662551,0.1594650205761316,2.7755575615628914e-16,8.362344250050662e-16,5.551115123125783e-17,1.634707776767085e-16,1.1102230246251563e-16,2.0799204690082132e-16,161,123,0
64,SINGLE_CORE_OPT,4,4,2,4,32,1019,0.5550098231827112,0.7308447937131631,0.1522593320235756,2.220446049250313e-16,1.0950175184198916e-14,2.775557561562892e-17,1.1667593210710674e-16,0.0,0.0,161,123,0
64,SINGLE_CORE_OPT,4,4,4,4,64,1124,0.6170970614425646,0.7764915405164737,0.1380231522707034,2.220446049250313e-16,5.671009455477833e-15,2.775557561562892e-17,1.6939180715197407e-16,0.0,0.0,164,123,0
64,SINGLE_CORE_OPT,8,4,4,8,128,1896,0.7139841688654354,0.8591029023746701,0.1240105540897097,6.661338147750939e-16,9.214452601659644e-15,1.1102230246251563e-16,1.1461938221896455e-16,1.1102230246251563e-16,1.641733737737453e-16,172,139,1
64,SINGLE_CORE_OPT,8,8,4,8,256,2429,0.7681219110378913,0.8813838550247116,0.0967874794069192,4.440892098500626e-16,3.839969229032257e-15,2.775557561562892e-17,1.7730026859921823e-16,1.1102230246251563e-16,1.753472795782195e-16,193,139,8
64,SINGLE_CORE_OPT,8,8,8,8,512,3526,0.8195744680851064,0.8975886524822695,0.0666666666666666,8.881784197001252e-16,1.2090613307634547e-14,1.1102230246251563e-16,1.388764192441567e-16,2.220446049250313e-16,1.4738083891299544e-16,261,134,13
64,SINGLE_CORE_OPT,16,8,8,16,1024,6730,0.8537672759696835,0.9231683756873236,0.0587011443007876,1.7763568394002505e-15,5.648724942535808e-14,2.220446049250313e-16,1.9430094248715456e-16,2.220446049250313e-16,2.460613003935458e-16,380,166,68
64,SINGLE_CORE_OPT,16,16,8,16,2048,11075,0.8886581181145025,0.930828968755644,0.0356691349106014,8.881784197001252e-16,3.515031016438108e-14,2.220446049250313e-16,1.802863875663074e-16,2.220446049250313e-16,2.003772528198334e-16,629,166,69
64,SINGLE_CORE_OPT,16,16,16,16,4096,19783,0.9115862905671824,0.935193610352846,0.0199676473561823,1.7763568394002505e-15,2.52215526837136e-13,2.220446049250313e-16,1.858102740968569e-16,1.1102230246251563e-16,1.2922686697563063e-16,1145,166,70
64,SINGLE_CORE_OPT,32,16,16,32,8192,47151,0.764220572640509,0.7822693531283139,0.0151643690349946,1.7763568394002505e-15,1.4437210403963649e-12,2.775557561562892e-17,1.1300194636334072e-12,4.440892098500626e-16,2.493294492574796e-16,2209,230,15883
