dim,impl,H,W,D,num_data_points,stride,kernel_cycles,main_loop_snitch_occupancy,fpss_fpu_occupancy,total_ipc,icache_miss,tcdm_congestion,time_spent_waiting_in_barrier
2D,Multicore Optimized,8,8,1,64,1,946.25,0.238862285,0.071870068,0.312846178,188,427,195.375
2D,Multicore Optimized,8,16,1,128,1,1599.25,0.150075784,0.367060354,0.519012085,225,403,275.375
2D,Multicore Optimized,16,16,1,256,1,6491.25,0.048064808,0.811401743,0.859928712,229,606,485.375
2D,Multicore Optimized,16,32,1,512,1,16491.25,0.027651036,0.886955505,0.914788456,224,4537,900.375
3D,Multicore Optimized,4,4,4,64,1,1092.375,0.225210505,0.06225331,0.289294795,126,285,187.875
3D,Multicore Optimized,4,4,8,128,1,2945.375,0.249206252,0.112719994,0.365321427,205,331,262.875
3D,Multicore Optimized,4,8,8,256,1,11044.375,0.285937574,0.14957849,0.440043258,400,540,417.875
3D,Multicore Optimized,8,8,8,512,1,49913.375,0.304487533,0.165326433,0.474822643,1500,1479,787.875
2D,Multicore Unoptimized,8,8,1,64,1,1602.625,0.336566204,0.113019568,0.490145443,48,212,193.5
2D,Multicore Unoptimized,8,16,1,128,1,10508.625,0.391488149,0.153148113,0.600304858,81,184,273.5
2D,Multicore Unoptimized,16,16,1,256,1,89502.625,0.405323301,0.162264786,0.626413178,405,314,483.5
2D,Multicore Unoptimized,16,32,1,512,1,245374.625,0.410079589,0.164501017,0.634183345,966,837,903.5
3D,Multicore Unoptimized,4,4,4,64,1,1937.625,0.450044696,0.033030803,0.518107254,106,294,190.5
3D,Multicore Unoptimized,4,4,8,128,1,6971.625,0.538756167,0.045326664,0.633695248,138,256,265.5
3D,Multicore Unoptimized,4,8,8,256,1,31817.625,0.570752889,0.049532299,0.674453313,272,311,420.5
3D,Multicore Unoptimized,8,8,8,512,1,152241.625,0.591822376,0.051733552,0.69993259,942,697,790.5
1D,Singlecore Optimized,64,1,1,64,64,1218,0.143678161,0.428571429,0.574712644,152,0,238
2D,Singlecore Optimized,8,8,1,64,64,1209,0.161290323,0.431761787,0.595533499,130,0,193
3D,Singlecore Optimized,4,4,4,64,64,3040,0.361842105,0.174342105,0.541447368,168,0,199
1D,Singlecore Optimized,128,1,1,128,64,1803,0.101497504,0.577925679,0.681087077,152,0,303
2D,Singlecore Optimized,8,16,1,128,64,1804,0.112527716,0.577605322,0.691796009,129,0,268
3D,Singlecore Optimized,4,4,8,128,64,5557,0.372143243,0.190390498,0.568292244,209,0,274
1D,Singlecore Optimized,256,1,1,256,64,2988,0.066599732,0.696787149,0.764390897,152,0,448
2D,Singlecore Optimized,16,16,1,256,64,2980,0.073489933,0.698657718,0.773154362,129,0,403
3D,Singlecore Optimized,4,8,8,256,64,10583,0.377586696,0.199754323,0.583388453,290,0,409
1D,Singlecore Optimized,512,1,1,512,64,5338,0.043274635,0.779692769,0.823529412,152,0,718
2D,Singlecore Optimized,16,32,1,512,64,5330,0.047091932,0.780863039,0.828517824,128,0,673
3D,Singlecore Optimized,8,8,8,512,64,20634,0.379761559,0.204807599,0.590772511,451,0,679
1D,Singlecore Optimized,1024,1,1,1024,64,10048,0.029359076,0.828224522,0.857882166,152,0,1268
2D,Singlecore Optimized,32,32,1,1024,64,10036,0.031387007,0.829214827,0.860900757,128,0,1218
3D,Singlecore Optimized,8,8,16,1024,64,40707,0.381162945,0.207581006,0.595032795,771,0,1224
1D,Singlecore Optimized,2048,1,1,2048,64,19475,0.040770218,0.854634146,0.895866496,1791,103,44
2D,Singlecore Optimized,32,64,1,2048,64,19579,0.043464937,0.850094489,0.894019102,1722,89,41
3D,Singlecore Optimized,8,16,16,2048,64,80499,0.386526541,0.209940496,0.602827364,2984,42,51
1D,Singlecore Optimized,4096,1,1,4096,64,37188,0.043750672,0.895154351,0.939550393,1420,600,44
2D,Singlecore Optimized,64,64,1,4096,64,37515,0.047154472,0.887351726,0.935145942,1442,480,41
3D,Singlecore Optimized,16,16,16,4096,64,158647,0.390987538,0.213057921,0.610500041,3916,140,51
1D,Singlecore Optimized,64,1,1,64,1,1181,0.147332769,0.441998307,0.591871296,205,0,208
1D,Singlecore Optimized,128,1,1,128,1,34596,0.019828882,0.97704937,0.996964967,205,32,343
1D,Singlecore Optimized,256,1,1,256,1,101431,0.016858751,0.989460816,1.006349144,168,97,618
1D,Singlecore Optimized,512,1,1,512,1,235106,0.015984279,0.993092477,1.009089517,168,225,1173
2D,Singlecore Optimized,8,8,1,64,1,2022,0.318001978,0.265578635,0.591493571,207,0,210
2D,Singlecore Optimized,8,16,1,128,1,6434,0.117345353,0.728784582,0.849860118,328,0,285
2D,Singlecore Optimized,16,16,1,256,1,44089,0.030188936,0.955544467,0.986277756,328,4,500
2D,Singlecore Optimized,16,32,1,512,1,119399,0.020795819,0.979983082,1.000979908,314,24,930
3D,Singlecore Optimized,4,4,4,64,1,3027,0.363396102,0.175090849,0.543772712,155,1,220
3D,Singlecore Optimized,4,4,8,128,1,6971.625,0.538756167,0.045326664,0.633695248,138,256,265.5
3D,Singlecore Optimized,4,8,8,256,1,61909,0.390960927,0.213248478,0.6106705,949,1,423
3D,Singlecore Optimized,8,8,8,512,1,307836,0.388921374,0.214406372,0.609824712,4150,1,813
