prec,impl,C,H,W,TILE_CI,num_data_points,kernel_cycles,fpss_fpu_occupancy,total_ipc,main_loop_snitch_occupancy,ofmap_max_abs_err,ofmap_max_rel_err,time_spent_waiting_in_barrier,icache_miss,tcdm_congestion
64,MULTICORE_OPT,16,64,64,16,65536,19544,0.4246021593409405,0.477971652254004,0.0483037404697334,7.105427357601002e-15,1.0872259792430376e-12,4015.0,130.0,96311.0
64,MULTICORE_OPT,32,64,32,32,65536,19498,0.4300148740831923,0.5058214084218084,0.0668307944812022,3.552713678800501e-15,1.174233450525301e-13,7447.0,218.0,40803.0
64,MULTICORE_OPT,32,64,64,32,131072,38185,0.4345799287659753,0.505578252671276,0.0621726377540331,3.552713678800501e-15,4.425063229018701e-12,14647.0,221.0,82057.0
64,SINGLE_CORE_OPT,2,2,2,2,8,435,0.2649769585253456,0.5069124423963134,0.2649769585253456,0.0,0.0,157.0,55.0,0.0
64,SINGLE_CORE_OPT,4,2,2,4,16,573,0.4318181818181818,0.6765734265734266,0.3216783216783216,2.220446049250313e-16,1.97869870980257e-16,157.0,55.0,0.0
64,SINGLE_CORE_OPT,4,4,2,4,32,580,0.4542314335060449,0.696027633851468,0.3177892918825561,4.440892098500626e-16,2.163179412193105e-16,162.0,55.0,1.0
64,SINGLE_CORE_OPT,4,4,4,4,64,599,0.4933110367892976,0.7274247491638797,0.3076923076923077,8.881784197001252e-16,1.7915222767868003e-15,167.0,55.0,1.0
64,SINGLE_CORE_OPT,8,4,4,8,128,892,0.6812570145903479,0.9135802469135804,0.3580246913580246,8.881784197001252e-16,8.49936956021003e-16,172.0,57.0,0.0
64,SINGLE_CORE_OPT,8,8,4,8,256,1048,0.7020057306590258,0.8911174785100286,0.2960840496657115,8.881784197001252e-16,1.4175577124710734e-15,187.0,73.0,8.0
64,SINGLE_CORE_OPT,8,8,8,8,512,1352,0.7335307179866766,0.8712065136935603,0.2205773501110288,8.881784197001252e-16,1.779554534720671e-15,222.0,105.0,14.0
64,SINGLE_CORE_OPT,16,8,8,16,1024,2452,0.8155854753161975,0.9461444308445532,0.2317421460628315,3.552713678800501e-15,1.2748096267088144e-14,287.0,163.0,83.0
64,SINGLE_CORE_OPT,16,16,8,16,2048,3601,0.8397222222222223,0.9286111111111112,0.1577777777777777,7.105427357601002e-15,9.021791557394001e-14,412.0,163.0,88.0
64,SINGLE_CORE_OPT,16,16,16,16,4096,5904,0.8590547179400305,0.9132644418092496,0.0962222598678638,7.105427357601002e-15,5.744052371453365e-13,667.0,163.0,99.0
